Observer,Date,Time,Pig,PigID,Trauma,Group,Sex,With/To,Behavior,Location,Notes,Start,Stop
NS,9/30/22,11:07:51,Dahlia,4,N,B,F,Pixie,Nudge.ground ,"30.015084,-97.306518",Eat hay next to Pixie,0,0
NS,9/30/22,11:08:47,Dahlia,4,N,B,F,Kitty,Nudge.ground ,"30.015078,-97.306553",,0,0
NS,9/30/22,11:10:37,Dahlia,4,N,B,F,No Value,Other,"30.014988,-97.306487",Approach Noah,0,0
NS,9/30/22,11:11:12,Dahlia,4,N,B,F,No Value,Nudge.ground ,"30.014934,-97.306718",Dirt,0,0
NS,9/30/22,11:12:20,Dahlia,4,N,B,F,No Value,Nudge.ground ,"30.014986,-97.306543",Dirt,0,1
NS,9/30/22,11:12:41,Kitty,12,Y,B,F,No Value,Nudge.ground ,"30.014959,-97.306588",Dirt,0,0
NS,9/30/22,11:17:44,Kitty,12,Y,B,F,No Value,Nudge.ground ,"30.015136,-97.306330",,0,1
NS,9/30/22,11:18:33,George,7,Y,B,M,Molly,Rest.proxim,"30.015036,-97.306531",,0,0
NS,9/30/22,11:23:30,George,7,Y,B,M,Molly,Rest.proxim,"30.017776,-97.305970",,0,1
NS,9/30/22,11:27:05,Raymond,16,N,B,M,No Value,Nudge.ground ,"30.004003,-97.298480",,0,0
NS,9/30/22,11:27:41,Raymond,16,N,B,M,Molly,Rest.proxim,"30.015056,-97.306291",Next to Molly and George,0,0
NS,9/30/22,11:32:12,Raymond,16,N,B,M,No Value,Rest.proxim,"30.015038,-97.306252",Same,0,1
NS,9/30/22,11:33:07,Molly,14,N,B,F,George,Rest.proxim,"30.015095,-97.306243",With George and Raymond,1,0
NS,9/30/22,11:36:15,Molly,14,N,B,F,No Value,Other,"30.017700,-97.306007",Stand up,0,0
NS,9/30/22,11:37:01,Molly,14,N,B,F,No Value,Rest.proxim,"30.015060,-97.306199",Lays back down,0,0
NS,9/30/22,11:37:35,Molly,14,N,B,F,No Value,Rest.proxim,"30.015026,-97.306270",,0,1
