Date,Time,PigName,With/To,Behavior,Behavior.cat,Location,Notes,GPS,Start,Stop,Observer
10/7/22,9:48:20 AM,Bates,No Value,Travel,Activity,"30.014710,-97.307336",,,0,0,AJ
10/7/22,9:49:21,Eleanor,No Value,Grunt,Grunt,"30.015069,-97.307448",,,1,0,NS
10/7/22,9:50:05 AM,Bates,No Value,Nudge.ground,Activity,"30.015932,-97.305955",,,0,0,AJ
10/7/22,9:50:50 AM,Bates,No Value,Wag.tail,Wag.tail,"30.014907,-97.307339",,,0,0,AJ
10/7/22,9:50:58,Eleanor,No Value,Nudge.ground,Activity,"30.015069,-97.307448",Hay,,0,0,NS
10/7/22,9:51:26 AM,Bates,Eleanor,Nudge.ground,Activity,"30.014917,-97.307416",,,0,1,AJ
10/7/22,9:51:51 AM,Thomas,No Value,Nudge.ground,Activity,"30.014825,-97.307442",foaming at the mouth,,1,0,AJ
10/7/22,9:52:13 AM,Thomas,No Value,Wag.tail,Wag.tail,"30.015028,-97.306848",,,0,0,AJ
10/7/22,9:53:40,Eleanor,Horatio,Nudge.ground,Activity,"30.014835,-97.307321",Hay,,0,0,NS
10/7/22,9:54:05,Eleanor,No Value,Nudge.ground,Activity,"30.015069,-97.307448",Hay,,0,1,NS
10/7/22,9:54:58 AM,Thomas,No Value,Attempt.disp,G.agg,"30.017370,-97.305416",brown pig not in study had a white stripe on back,,0,0,AJ
10/7/22,9:55:04,Bates,No Value,Nudge.ground,Activity,"30.015069,-97.307448",Dirt,,1,0,NS
10/7/22,9:55:30 AM,Thomas,No Value,Travel,Activity,"30.014611,-97.307268",got off dinner table after trying to displace other pig,,0,0,AJ
10/7/22,9:56:51 AM,Thomas,No Value,Nudge.ground,Activity,"30.014862,-97.307332",,,0,1,AJ
10/7/22,9:57:00,Bates,No Value,Other,Other,"30.015069,-97.307448",Step on top of dinner table,,0,0,NS
10/7/22,9:57:11 AM,Atlas,No Value,Nudge.ground,Activity,"30.015636,-97.307173",,,1,0,AJ
10/7/22,9:57:20,Bates,No Value,Nudge.ground,Activity,"30.014856,-97.307409",Pellets,,0,0,NS
10/7/22,9:57:59 AM,Atlas,No Value,Travel,Activity,"30.015028,-97.306848",,,0,0,AJ
10/7/22,9:58:10 AM,Atlas,Horatio,Attempt.disp,G.agg,"30.014981,-97.307395",displacement successful,,0,0,AJ
10/7/22,10:00:04 AM,Atlas,No Value,Travel,Activity,"30.015028,-97.306848",,,0,0,AJ
10/7/22,10:00:19,Bates,No Value,Nudge.ground,Activity,"30.015069,-97.307448",Pellets,,0,1,NS
10/7/22,10:00:43,Dora,No Value,Nudge.ground,Activity,"30.014846,-97.307480",Hay,,1,0,NS
10/7/22,10:00:58 AM,Atlas,No Value,Travel,Activity,"30.012296,-97.307142",,,0,0,AJ
10/7/22,10:01:49 AM,Atlas,Horatio,Attempt.disp,G.agg,"30.013779,-97.308125",displacement success,,0,0,AJ
10/7/22,10:03:24 AM,Imogen,No Value,Wag.tail,Wag.tail,"30.015028,-97.306848",,,1,0,AJ
10/7/22,10:03:59,Dora,Imogen,Get.disp,R.agg,"30.015069,-97.307448",,,0,0,NS
10/7/22,10:04:31 AM,Imogen,No Value,Travel,Activity,"30.015436,-97.307413",,,0,0,AJ
10/7/22,10:04:57 AM,Imogen,No Value,Sniff.consp,Pro.social,"30.015436,-97.307413",sniffing another pigs backside,,0,0,AJ
10/7/22,10:05:03,Dora,Atlas,Nudge.ground,Activity,"30.015069,-97.307448",Eat dirt with rump touching Atlas,,0,0,NS
10/7/22,10:05:51 AM,Imogen,No Value,Rest.proxim,Pro.social,"30.014878,-97.308156","with black wrinkly pig, in tree area ",,0,0,AJ
10/7/22,10:06:04,Dora,No Value,Sniff.obj,Activity,"30.015069,-97.307448",Dinner table,,0,1,NS
10/7/22,10:06:29,Atlas,No Value,Nudge.ground,Activity,"30.015069,-97.307448",Dirt,,1,0,NS
10/7/22,10:07:38,Atlas,No Value,Nudge.ground,Activity,"30.015069,-97.307448",Dirt,,0,0,NS
10/7/22,10:08:25 AM,Imogen,No Value,Rest.proxim,Pro.social,"30.014955,-97.307482",,,0,1,AJ
10/7/22,10:08:49,Atlas,Unknown,Attempt.disp,G.agg,"30.015069,-97.307448",Displaces black and white pig with tusks (pic),,0,0,NS
10/7/22,10:09:16,Atlas,No Value,Nudge.ground,Activity,"30.015069,-97.307448",Dirt,,0,0,NS
10/7/22,10:09:29 AM,Eleanor,No Value,Nudge.ground,Activity,"30.014779,-97.307672",,,1,0,AJ
10/7/22,10:09:43 AM,Eleanor,No Value,Wag.tail,Wag.tail,"30.014831,-97.307410",,,0,0,AJ
10/7/22,10:10:57,Atlas,No Value,Travel,Activity,"30.015069,-97.307448",Travel while grunting,,0,0,NS
10/7/22,10:11:28,Atlas,No Value,Nudge.ground,Activity,"30.015069,-97.307448",Hay,,0,1,NS
10/7/22,10:11:38 AM,Eleanor,No Value,Nudge.ground,Activity,"30.015056,-97.307407",with 2 pink pigs and a gray spotted pig (not rebel),,0,0,AJ
10/7/22,10:12:14,Horatio,No Value,Wag.tail,Wag.tail,"30.015069,-97.307448",,,1,0,NS
10/7/22,10:12:43,Horatio,No Value,Grunt,Grunt,"30.015069,-97.307448",,,0,0,NS
10/7/22,10:12:45 AM,Eleanor,No Value,Nip,G.agg,"30.014880,-97.307295",gray pig w black spots not in study,,0,0,AJ
10/7/22,10:13:11,Horatio,No Value,Grunt,Grunt,"30.015069,-97.307448",,,0,0,NS
10/7/22,10:13:23 AM,Eleanor,No Value,Pee,Pee,"30.014896,-97.307209",,,0,0,AJ
10/7/22,10:13:50 AM,Eleanor,No Value,Nip,G.agg,"30.015021,-97.307401",pink pig not in study,,0,0,AJ
10/7/22,10:14:05 AM,Eleanor,No Value,Attempt.disp,G.agg,"30.014763,-97.307404",nipped the pink pig and displaced them,,0,0,AJ
10/7/22,10:14:47 AM,Eleanor,No Value,Nudge.ground,Activity,"30.014886,-97.307389",,,0,1,AJ
10/7/22,10:15:03 AM,Georgie,No Value,Rest,Rest,"30.015054,-97.307697",,,1,0,AJ
10/7/22,10:15:09,Horatio,No Value,Sniff.obj,Activity,"30.015069,-97.307448",Dirt,,0,0,NS
10/7/22,10:16:20,Horatio,No Value,Wag.tail,Wag.tail,"30.015069,-97.307448",Standing still with tail wagging,,0,0,NS
10/7/22,10:17:00,Horatio,Unknown,Grunt,Grunt,"30.015069,-97.307448",Grunting at black and white splotched pig with tusks (pic),,0,1,NS
10/7/22,10:19:00,Rebel,Unknown,Rest.proxim,Pro.social,"30.015069,-97.307448",Pic,,1,0,NS
10/7/22,10:20:24 AM,Georgie,Dora,Rest.proxim,Pro.social,"30.017588,-97.305296",,,0,1,AJ
10/7/22,10:22:08 AM,Wilbur,No Value,Rest.proxim,Pro.social,"30.014813,-97.307386",2 pigs not in study,,1,0,AJ
10/7/22,10:24:17,Rebel,Unknown,Rest.proxim,Pro.social,"30.015069,-97.307448",Still resting with same group,,0,1,NS
10/7/22,10:24:53,Georgie,Dora,Rest.proxim,Pro.social,"30.014970,-97.307486",Rest near Dora but not touching. Facing opposite sides,,1,0,NS
10/7/22,10:25:12 AM,Wilbur,AJ,Attempt.disp,G.agg,"30.014900,-97.307667",Chase AJ,,0,0,AJ
10/7/22,10:26:27 AM,Wilbur,No Value,Nudge.ground,Activity,"30.012350,-97.305282",dirt,,0,0,AJ
10/7/22,10:27:31 AM,Wilbur,No Value,Travel,Activity,"30.015305,-97.307291",,,0,1,AJ
10/7/22,10:27:46 AM,Bianca,"Bates, Other",Rest.proxim,Pro.social,"30.015344,-97.307275",w bates and another white pig with black spots,,1,0,AJ
10/7/22,10:28:19,Georgie,No Value,Grunt,Grunt,"30.014980,-97.307450",Grunt while still laying down,,0,0,NS
10/7/22,10:30:30,Georgie,Dora,Rest.proxim,Pro.social,"30.014929,-97.307583",Still resting near Dora,,0,0,NS
10/7/22,10:30:51,Wilbur,No Value,Sniff.obj,Activity,"30.015069,-97.307448",Ground,,1,0,NS
10/7/22,10:32:16,Wilbur,NS,Other,Other,"30.015069,-97.307448","Standing, appearing to look back at NS",,0,0,NS
10/7/22,10:32:41,Wilbur,No Value,Travel,Activity,"30.015069,-97.307448",,,0,0,NS
10/7/22,10:32:49,Wilbur,No Value,Sniff.obj,Activity,"30.014917,-97.307479",Hay,,0,0,NS
10/7/22,10:33:04,Wilbur,No Value,Rest,Rest,"30.015069,-97.307448",,,0,0,NS
10/7/22,10:33:24 AM,Bianca,"Bates, Other",Rest.proxim,Pro.social,"30.014848,-97.307160",see previous,,0,1,AJ
10/7/22,10:35:45,Wilbur,No Value,Sniff.obj,Activity,"30.015069,-97.307448",Ground,,0,1,NS
10/7/22,10:40:30,Pixie,No Value,Sniff.obj,Activity,"30.015110,-97.306427",Dinner table,,0,0,NS
10/7/22,10:41:06,Pixie,No Value,Drink,Drink,"30.015106,-97.306497",Drink water in trough with front feet in,,0,0,NS
10/7/22,10:41:18 AM,Loretta,Willie,Get.disp,R.agg,"30.009124,-97.300503",,,1,0,AJ
10/7/22,10:41:22,Pixie,No Value,Travel,Activity,"30.015155,-97.306516",,,0,0,NS
10/7/22,10:41:52,Pixie,No Value,Nudge.ground,Activity,"30.015156,-97.306487",Hay,,0,0,NS
10/7/22,10:42:39,Pixie,Dahlia,Get.disp,R.agg,"30.015093,-97.306542",,,0,0,NS
10/7/22,10:43:14,Pixie,Dahlia,Grunt,Grunt,"30.015040,-97.306558",,,0,0,NS
10/7/22,10:43:17 AM,Loretta,No Value,Grunt,Grunt,"30.007217,-97.298145",,,0,0,AJ
10/7/22,10:43:22 AM,Loretta,No Value,Other,Other,"30.005931,-97.297381",lifting up dinner table with snout,,0,0,AJ
10/7/22,10:43:31,Pixie,No Value,Nudge.ground,Activity,"30.015038,-97.306465",Hay,,0,0,NS
10/7/22,10:44:45 AM,Loretta,No Value,Travel,Activity,"30.014973,-97.306310",,,0,0,AJ
10/7/22,10:45:26,Pixie,Loretta,Sniff.consp,Pro.social,"30.015069,-97.306485",Sniff Loretta,,0,1,NS
10/7/22,10:45:34 AM,Loretta,Pixie,Other,Other,"30.013831,-97.307797",got sniffed,,0,0,AJ
10/7/22,10:46:01,Kitty,No Value,Grunt,Grunt,"30.015117,-97.306492",,,1,0,NS
10/7/22,10:46:20 AM,Loretta,No Value,Drink,Drink,"30.015207,-97.306007",,,0,1,AJ
10/7/22,10:46:45 AM,Willie,No Value,Travel,Activity,"30.015005,-97.306623",,,1,0,AJ
10/7/22,10:47:21,Kitty,No Value,Other,Other,"30.015069,-97.306545","Putting nose through fence, sniffing donkey ",,0,0,NS
10/7/22,10:47:37 AM,Willie,No Value,Drink,Drink,"30.014603,-97.304774",,,0,0,AJ
10/7/22,10:47:48,Kitty,No Value,Nudge.ground,Activity,"30.015059,-97.306547",Hay,,0,0,NS
10/7/22,10:48:25 AM,Willie,No Value,Travel,Activity,"30.014289,-97.303168",,,0,0,AJ
10/7/22,10:50:25,Kitty,No Value,Grunt,Grunt,"30.015039,-97.306492",,,0,0,NS
10/7/22,10:50:32 AM,Willie,Dahlia,Nudge.ground,Activity,"30.015220,-97.305497",,,0,0,AJ
10/7/22,10:50:47,Kitty,Raymond,Attempt.disp,G.agg,"30.015077,-97.306500",Displaces Raymond at dinner table,,0,0,NS
10/7/22,10:51:07 AM,Willie,Dahlia,Rest.proxim,Pro.social,"30.015305,-97.305827",,,0,0,AJ
10/7/22,10:51:22,Kitty,No Value,Nudge.ground,Activity,"30.015026,-97.306593",Dirt,,0,0,NS
10/7/22,10:51:37,Raymond,No Value,Sniff.obj,Activity,"30.014907,-97.306613",Ground,,1,0,NS
10/7/22,10:51:47 AM,Willie,Dahlia,Rest.proxim,Pro.social,"30.015199,-97.305926",,,0,1,AJ
10/7/22,10:52:08 AM,Dahlia,Willie,Rest.proxim,Pro.social,"30.015000,-97.306262",,,1,0,AJ
10/7/22,10:52:17,Raymond,No Value,Nudge.ground,Activity,"30.014939,-97.306513",Hay,,0,0,NS
10/7/22,10:53:33,Raymond,Dahlia,Nudge.ground,Activity,"30.014965,-97.306636",Eat dirt next to Dahlia,,0,0,NS
10/7/22,10:54:20,Raymond,No Value,Travel,Activity,"30.015010,-97.306596",,,0,0,NS
10/7/22,10:55:40,Raymond,No Value,Nudge.ground,Activity,"30.015101,-97.306644",Dirt/hay,,0,0,NS
